theme,word,pos,zh,example,example_zh,cefr
"travel","depart","v.","出發；啟程","Our train is scheduled to depart from Platform 3 at 9:30 AM sharp.","我們的火車預定於早上 9 點半準時從三號月台出發。","B1"
"travel","visa","n.","簽證","If you plan to stay for three months, you will need to apply for a tourist visa.","如果您計畫停留三個月，您需要申請觀光簽證。","B1"
"travel","accommodation","n.","住宿；膳宿","We have arranged your accommodation near the conference center for the duration of the meeting.","我們已經安排好您在會議期間靠近會議中心的住宿。","B2"
"travel","arrival","n.","抵達；到達","Please check the monitor to confirm the estimated time of arrival for your connecting flight.","請查看螢幕以確認您轉機航班的預計抵達時間。","A2"
"travel","abroad","adv.","在國外；到國外","Many companies offer opportunities to work abroad for six months to gain valuable experience.","許多公司提供到國外工作六個月以獲取寶貴經驗的機會。","A2"
"travel","luggage","n.","行李","We need to check in our heavy luggage before going through security at the airport.","在通過機場安檢之前，我們需要托運我們沉重的行李。","B1"
"travel","book","v.","預訂","Did you remember to book the flights for our business conference next month?","你記得預訂我們下個月商務會議的機票了嗎？","A2"
"travel","destination","n.","目的地","Our final destination is Paris, but we have a short layover in Frankfurt.","我們的最終目的地是巴黎，但我們會在法蘭克福短暫停留。","B1"
"travel","confirm","v.","確認","Please confirm your reservation details by email before Friday morning.","請在週五早上之前透過電子郵件確認您的預訂詳情。","B1"
"travel","tourist","n.","觀光客","The area near the beach is very crowded with tourists during the summer season.","在夏季，海灘附近的地區擠滿了觀光客。","A2"
"travel","reservation","n.","預訂；訂位","I need to confirm my hotel reservation before leaving for the business trip next week.","下週出差前，我需要確認我的飯店預訂。","B1"
"travel","luggage","n.","行李","Please keep an eye on your luggage while waiting at the station.","在車站等候時，請留意您的行李。","A2"
"travel","itinerary","n.","旅遊行程；行程表","Our team reviewed the entire travel itinerary to make sure we didn't miss any important meetings.","我們的團隊審閱了整個旅遊行程，以確保我們沒有錯過任何重要的會議。","B2"
"travel","boarding pass","n.","登機證","You must show your boarding pass and ID at the gate before getting on the plane.","登機前，您必須在登機門出示您的登機證和證件。","B1"
"travel","destination","n.","目的地","What is your final destination after the connecting flight in Tokyo?","在東京轉機之後，您的最終目的地是哪裡？","B1"
